u_1,rel_err_u_normal,rel_err_alpha_normal,rel_err_h_normal,rel_err_u_alpha,rel_err_alpha_alpha,rel_err_h_alpha
-0.99,0.012180690132779925,38.0871182491313,0.05002283611480406,0.012180690132779925,35.755134938540394,0.015107387452270199
-0.988,0.010770152023505819,24.831845542177113,0.027630128317961473,0.010770152023505819,23.595797672798774,0.0058803762484982945
-0.986,0.009356779180188918,15.74741951349897,0.015142735880801266,0.009356779180188918,15.111467141433206,0.0020592870169016233
-0.984,0.007940567413916088,9.147430169293383,0.008340303204874052,0.007940567413916088,8.821606801641913,0.0007248872297783356
-0.982,0.006521512553945918,4.139018102559996,0.004794024736104358,0.006521512553945918,3.9536279086211965,0.00044070274427779175
-0.98,0.005163984780636466,0.8099765374845463,0.0030958308709209373,0.005099610447995938,0.1000160343561284,0.0005288355958828631
-0.978,0.004181743514988487,0.29382260318707654,0.002404416027991556,0.004134477567762623,0.0719013848458962,0.0006866013902620382
-0.976,0.0033338349782027154,0.045339834001087743,0.0022289245035134004,0.0033218012187161625,0.03041701217907759,0.0007851175039461891
-0.974,0.0026239331340246253,0.06317582240994869,0.0022865897328016487,0.002647704974631872,0.02964227651912919,0.0008093149644264715
-0.972,0.0020470302470123663,0.08175563300929181,0.0024126817462626405,0.0020980073634409573,0.06060665158911538,0.0007611705002331119
-0.97,0.0015913575815181915,0.060496009204877695,0.002531542097306701,0.001654360442370549,0.07664777628426907,0.0006733596527700926
-0.968,0.001240660845157776,0.023160551584991203,0.002600462497653469,0.0012975126186242003,0.07711519180329285,0.0005700580386050178
-0.966,0.00097698357235623,0.01797747954154655,0.0026105140335303456,0.0010100410610052938,0.06593495955933115,0.0004730494504950556
-0.964,0.0007825649920151745,0.053974054452375006,0.0025674272234838826,0.000777191283451443,0.047329262240637694,0.0003961562686358492
-0.962,0.0006410255066732889,0.08261869779802923,0.0024719142204030486,0.0005873188414695492,0.025174496820838926,0.00034546532392793817
-0.96,0.0005386147507753694,0.10296094070656556,0.0023409814038911174,0.0004318184422924052,0.0028929575637394503,0.0003281573887445695
-0.958,0.00046406233818538633,0.11534558742361041,0.0021864361374852002,0.0003043254190531429,0.01779422177738357,0.0003402347603333524
-0.956,0.00040854596327900226,0.12074616390403572,0.0020212719150637425,0.00020031839691292237,0.034812194177386784,0.0003808902593069436
-0.954,0.00036517165303552314,0.12022680456625609,0.001845835109038254,0.00011645727931324704,0.047673962273997464,0.0004416168073350371
-0.952,0.0003295013349698826,0.11533458582149139,0.0016769944987225097,5.0551012169444425e-05,0.05598286527810426,0.000519256171581127
-0.95,0.00029795605593171644,0.10710067928892045,0.001517444355298626,6.171735127074245e-07,0.059975859101551725,0.0006037416275087301
-0.948,0.0002684539630465371,0.09665921529826789,0.0013704957108169253,3.478313444658407e-05,0.05999042572264653,0.0006918010776443583
-0.946,0.00023968589485936243,0.0849044680439249,0.0012408627238528862,5.6808135712768296e-05,0.0564938051547883,0.0007776422823069011
-0.944,0.00021090472625720865,0.07253804426308848,0.001127430706455347,6.695396489691013e-05,0.05023391790050313,0.0008564504232014498
-0.942,0.00018198002424501714,0.06018378968640644,0.0010328239936067544,6.620089483034598e-05,0.04173711617821451,0.0009253128274464423
-0.94,0.00015269142513544225,0.04816500832284741,0.0009546598969342508,5.5989554880684236e-05,0.03171214180024017,0.0009790673284129257
-0.938,0.00012356917054111904,0.036913539397241464,0.000894236518278812,3.751674502201967e-05,0.02070197537491511,0.001017873612877677
-0.936,9.480874089289944e-05,0.026584859871625365,0.0008481023204304683,1.1892012940389436e-05,0.009157862365570285,0.0010413149652398325
-0.934,6.688914255143447e-05,0.01734029918123805,0.0008168594156137039,1.929674331194326e-05,0.0023776169514093956,0.0010465066884163716
-0.932,4.0287069809389845e-05,0.009266868670456221,0.0007984224797112655,5.515739964984561e-05,0.01366316278024359,0.001036757998909825
-0.93,1.5368654174916344e-05,0.002371630704193486,0.0007906603322070147,9.41660997951845e-05,0.024317711127989597,0.0010102909898684162
-0.928,7.429943040369101e-06,0.003345770504859707,0.0007929861946782715,0.00013512527917003563,0.03412056401222623,0.0009679223258871685
-0.926,2.7930326709819546e-05,0.007969915405716278,0.0008018047693211579,0.00017711380952760707,0.042964207257715,0.0009117518675819136
-0.924,4.573573006547722e-05,0.011535837593918201,0.00081630878882451,0.0002189706669056504,0.050705881547493475,0.0008439762019353594
-0.922,6.0611721279212585e-05,0.014113593521091981,0.0008361336049836014,0.00025980539510635583,0.05730417616911336,0.000764705030181666
-0.92,7.250302230662304e-05,0.015817141874505683,0.0008592429911680887,0.0002987981083904597,0.06273864359374512,0.0006772913588598397
-0.918,8.117170384373176e-05,0.016708766078155635,0.0008849892365694511,0.000335217983703009,0.06701953448790077,0.0005821952744969868
-0.916,8.67731576203636e-05,0.016922974699186383,0.0009099707610368396,0.00036820020613903786,0.07013638720864591,0.0004814348288479889
-0.914,8.909956058338128e-05,0.01650945740062778,0.0009362144744052707,0.00039747448988648255,0.07219499809719192,0.00037737468280407596
-0.912,8.841690901278956e-05,0.015597488727240115,0.0009604886740716974,0.00042241188706581217,0.07322636440143936,0.0002695885098732027
-0.91,8.470315645449242e-05,0.01424974892760778,0.000983934995773501,0.00044264111752093636,0.0733042138942625,0.00016124102443183943
-0.908,7.814006553676533e-05,0.012554196015186248,0.0010045623010610809,0.00045790197290426933,0.07251227128499851,5.3872586610846685e-05
-0.906,6.882441844304193e-05,0.010573649745678131,0.0010228711549141658,0.00046799954906463824,0.0709345917202229,5.271116290487395e-05
-0.904,5.695359948405677e-05,0.008377379757832207,0.0010383258541608721,0.0004727558613101289,0.06864781876795654,0.0001567369746427121
-0.902,4.2936656360374075e-05,0.006054694206437901,0.0010489129760094277,0.00047209843197296364,0.06573429497003604,0.0002565723547138894
-0.9,2.6689688287569332e-05,0.0036152765863538307,0.0010580600560505529,0.00046602670914439617,0.06227586672160161,0.0003515977289652887
-0.898,8.801369731789416e-06,0.001154989149289816,0.0010625333439972231,0.00045454244134837874,0.05834449270049337,0.0004418347389628137
-0.896,1.0663749144037126e-05,0.0013097918212494626,0.0010629096270600286,0.00043769099157131645,0.054008639948796185,0.0005261452720149879
-0.894,3.1505837867744645e-05,0.003748897514524409,0.0010610521871799185,0.00041556144015059956,0.04933346956677906,0.0006037022564106981
-0.892,5.322108906554366e-05,0.006101789745132737,0.0010541072821146306,0.0003883824586016818,0.04439191329724321,0.0006747524546727533
-0.89,7.588047644280108e-05,0.008380540917284055,0.001045566758275507,0.0003562777613778918,0.0392360585321065,0.0007378172896512402
-0.888,9.890011159481542e-05,0.010526127186632685,0.00103206623965034,0.0003192741215262495,0.03390125543657051,0.0007929342458558629
-0.886,0.00012214989125576477,0.012532813741277554,0.0010155523748091424,0.0002778322447336122,0.028460877422889906,0.0008403040348318154
-0.884,0.00014529507145444936,0.014381985083188142,0.000996075471055502,0.00023207536411977122,0.022951585244053472,0.0008800227569256848
-0.882,0.00016824118000750528,0.01607522009283362,0.000973879080239154,0.00018211858303150146,0.01739876666705719,0.0009110551956155706
-0.88,0.0001906568314088173,0.017594549004614265,0.0009497308237989916,0.00012827146487248605,0.011844498628568793,0.0009339868106055578
-0.878,0.0002123979069450293,0.01894166247750945,0.0009235645875037836,7.081383294348341e-05,0.006322868954457959,0.0009488537515178922
-0.876,0.00023319606907507015,0.02010794831793294,0.0008944521384147557,1.0044946578372811e-05,0.0008652953004349069,0.0009548056858734304
-0.874,0.0002528530364188239,0.021092335557844507,0.0008647054241833287,5.402463107264318e-05,0.004525021271200261,0.0009533550359032712
-0.872,0.0002713005102455141,0.021904949548990096,0.0008333131970090633,0.00012082202013803489,0.009799821425310249,0.0009431981166370065
-0.87,0.00028817576812229716,0.02253225303135138,0.0007996828514987972,0.00019033143823170038,0.014960735331976546,0.0009252566170734951
-0.868,0.00030356293820900523,0.02299667614017173,0.0007669108832940416,0.0002623703763144018,0.019996781107367332,0.0008999154106822994
-0.866,0.0003170793716574065,0.023284268619503706,0.000732052499526728,0.0003363961017942139,0.024871842984792718,0.0008668559136460107
-0.864,0.0003288163527661273,0.023416880221781084,0.0006979384447545064,0.00041242525362004744,0.02959458684880866,0.0008266011347243382
-0.862,0.00033865801634568206,0.023399977041620577,0.0006637088332803211,0.0004901173662853295,0.03414809529526387,0.0007794503061496455
-0.86,0.0003464155851771565,0.023233924715628587,0.000628803898529576,0.0005692227574656641,0.03852388815917725,0.0007244061643531477
-0.858,0.0003520644672771229,0.022930092115492184,0.0005939033748705433,0.0006496007374051429,0.042722029786042164,0.0006637946833514436
-0.856,0.00035557173746682096,0.02249839968132975,0.0005603780205669104,0.0007310602135353333,0.046739738339815734,0.0005965459229434494
-0.854,0.0003569400369382737,0.02195016719180548,0.0005270644349349392,0.0008133157013284381,0.050569012339397784,0.0005231281753014949
-0.852,0.00035593197769164935,0.02128145546806008,0.0004938723806035431,0.0008960613897934743,0.05420185048147628,0.0004438866426424158
-0.85,0.00035283373486116773,0.020519372055827035,0.0004624622010513215,0.0009793391095440766,0.05765213693910858,0.0003593244383325559
-0.848,0.0003474995857818103,0.019664006498483478,0.0004325172203325682,0.0010627521838726922,0.06090735763658812,0.0002691572289711339
-0.846,0.00033982020608793535,0.018717636270068953,0.0004035916888689562,0.0011462589434363445,0.06397666381836507,0.00017436503341519024
-0.844,0.0003300874671757018,0.017703948952923244,0.0003764236248869675,0.001229567736943909,0.06685493384133182,7.429074942412505e-05
-0.842,0.0003181451970337035,0.016621023285130525,0.0003509274971400132,0.0013125550541839008,0.06954693118459088,2.9941338019102668e-05
-0.84,0.0003041002983603515,0.01548062121452683,0.0003262292280959991,0.0013950016265759813,0.07205231174224054,0.00013865060991016294
-0.838,0.00028796697627799244,0.014288862398861348,0.00030357996051487884,0.0014768101173210705,0.07437733405771745,0.00025086000843283765
-0.836,0.0002698949700247337,0.013057905487558112,0.0002833883268197563,0.0015578244331207532,0.07652507517615488,0.0003663874179132122
-0.834,0.00024981653607771687,0.011788565039960067,0.00026438689644447846,0.0016378562668627626,0.0784970823438053,0.0004857525955328604
-0.832,0.00022782790216700256,0.010489177209668566,0.0002469636308034954,0.001716796464637586,0.08029882829126798,0.0006083885402843797
-0.83,0.00020427950088399514,0.009178747901099724,0.00023302762496270574,0.001794392050043134,0.08192892253275959,0.0007341907161261722
-0.828,0.00017886515539887845,0.007844333698358403,0.00021980513127585447,0.0018707709867004502,0.08340507451075133,0.0008616693107562052
-0.826,0.00015192933108813887,0.006506297156398604,0.00020853837413991683,0.0019454980529181804,0.0847145155919225,0.0009923904791114936
-0.824,0.00012349303774389906,0.005165458917062993,0.00019955757003958463,0.0020186932216894986,0.08587406550465113,0.0011247096302978675
-0.822,9.367626732809354e-05,0.0038279811317964256,0.00019319717978845554,0.002090083847860708,0.08688135340330377,0.001259142771736357
-0.82,6.266978441320314e-05,0.0025022980885633277,0.00018881080412926443,0.0021596549457464464,0.08774510301985754,0.0013956866704320048
-0.818,3.0396902111408996e-05,0.0011856410316014388,0.00018554725246896472,0.0022271857728998687,0.08846520408768573,0.0015332592518201675
-0.816,2.8595577879336717e-06,0.00011080668930425344,0.0001847938954152323,0.002292676166910504,0.08905049544285057,0.0016723695624539115
