u_1,err_u,rel_err_u,err_alpha,rel_err_alpha,err_h,rel_err_h
-0.99,0.017140183105807227,0.012180690132779925,49.39947073546212,35.10578866267343,0.0017567454267850557,0.0012484330857934099
-0.988,0.015140183105807226,0.010770152023505819,32.915310025040355,23.414703137542325,0.0009499468061915373,0.0006757561282731387
-0.986,0.013140183105807224,0.009356779180188918,21.16371974128619,15.070128829719597,0.00041466969409764687,0.00029527539526244805
-0.984,0.011140183105807222,0.007940567413916088,12.368098231560333,8.815808219386073,0.0001522274545155966,0.00010850561012770281
-0.982,0.00914018310580722,0.006521512553945918,5.541228820607752,3.9536618577061766,4.7762216273561364e-05,3.4078299026023914e-05
-0.98,0.0071401831058072185,0.005099610447995938,0.09118442106304962,0.0651250842530065,2.154040048440997e-05,1.5384430586237083e-05
-0.978,0.005800274468065747,0.00414677426364191,0.060413858476910526,0.04319151358761485,1.0103442046771605e-05,7.2232260187717595e-06
-0.976,0.004652565738010872,0.003329573027593313,0.03928471152355351,0.028113802845809964,9.181359456933436e-06,6.570569557930429e-06
-0.974,0.003689617674922596,0.0026430875432277394,0.023861388734689775,0.017093299329474926,1.4471823164274866e-06,1.0367007886282414e-06
-0.972,0.0028968724248846778,0.0020772735121531443,0.014380274635675809,0.01031172907083274,1.1141172777451303e-05,7.989051539210458e-06
-0.97,0.002255288735133587,0.00161882748974629,0.009492967714548273,0.00681397324262097,2.7101603250034856e-05,1.945330532356652e-05
-0.968,0.001743826317674002,0.0012529557307918691,0.006651309099674096,0.004779028604649559,3.7006788890625586e-05,2.6589728431534315e-05
-0.966,0.0013412397186838287,0.0009646570775891773,0.0044773779624786465,0.003220255320790264,4.796288631636614e-05,3.449624783859717e-05
-0.964,0.001028132717441177,0.000740201136601932,0.0036113193258956217,0.0025999587643833534,5.3750801023433326e-05,3.86977316603933e-05
-0.962,0.0007867596362501894,0.0005669915999954372,0.0050294110540112635,0.003624529893449904,5.3195748042966784e-05,3.8336412934946904e-05
-0.96,0.0006021218054554911,0.0004343630361718565,0.007211417475190749,0.005202225133263643,4.8513170371133896e-05,3.499678600875041e-05
-0.958,0.0004615189362707772,0.0003332667175797048,0.009021829988639736,0.006514739549304358,3.5935399601561e-05,2.5949255228610597e-05
-0.956,0.0003548554327650333,0.0002565002264775162,0.010270249509239365,0.007423646594822762,2.185315815239619e-05,1.5796122865195546e-05
-0.954,0.0002736518685342304,0.00019800153024156453,0.010652518847479212,0.007707658069450218,8.457400734407372e-06,6.119374577079939e-06
-0.952,0.00021168095883494775,0.00015331537671537748,0.01035217917610322,0.007497831920947057,4.880609433488559e-06,3.534906861789906e-06
-0.95,0.0001637974537346265,0.00011875306118181143,0.009340202571406095,0.006771641573926506,2.1148418043015482e-05,1.5332591102604108e-05
-0.948,0.00012632557183900328,9.167747432827807e-05,0.0078159050354317,0.005672188321072891,3.248491431639966e-05,2.3575075536515696e-05
-0.946,9.644017487253631e-05,7.005885057932067e-05,0.005905849124721423,0.004290297087492085,4.353995565231639e-05,3.1629549109668256e-05
-0.944,7.193571329866533e-05,5.230981370246814e-05,0.003686603480080745,0.002680803906638575,4.852749639838727e-05,3.528795614366876e-05
-0.942,5.1347290525027844e-05,3.737573125428291e-05,0.001308942692737397,0.0009527803670023119,5.0346772546894236e-05,3.664745346818292e-05
-0.94,3.3611167005287435e-05,2.4490026264138645e-05,0.0011163405057214356,0.0008133965803846975,5.0676882937472634e-05,3.692457908195059e-05
-0.938,1.7802722490856127e-05,1.2984508553988463e-05,0.003555947234847667,0.0025935486728013786,4.8402046308626545e-05,3.5302285066101924e-05
-0.936,3.7531065913976036e-06,2.7400808038178524e-06,0.0058163801292400365,0.004246442554114452,4.164727561328796e-05,3.0405984391929086e-05
-0.934,9.04899286358063e-06,6.613114350185398e-06,0.007910481613770464,0.005781076443042227,3.250853128511366e-05,2.3757631151448257e-05
-0.932,2.070634521766923e-05,1.5147553291273641e-05,0.00976805064074873,0.007145735574153442,1.6387380441407196e-05,1.198805080911967e-05
-0.93,3.1486113248546665e-05,2.3056388357190604e-05,0.011410161228078784,0.008355337682236355,3.6376668437476667e-06,2.6637603314659147e-06
-0.928,4.102691632557054e-05,3.00728245439079e-05,0.012709162661669363,0.009315845621723148,1.4194744492157518e-05,1.0404780538970223e-05
-0.926,4.9666885636456826e-05,3.644226172594837e-05,0.013755456993399967,0.010092840682274541,3.33607601719077e-05,2.4477909939029232e-05
-0.924,5.710446388107471e-05,4.1941255898938396e-05,0.014485850980579166,0.01063935709396812,5.738398206645012e-05,4.2146552349416455e-05
-0.922,6.350332309812412e-05,4.668751177261999e-05,0.014952514492246563,0.01099305772248089,7.716226366794032e-05,5.6729536623342305e-05
-0.92,6.871012514053643e-05,5.05659119129569e-05,0.015147830087473908,0.011147757922270957,9.944392189842333e-05,7.318386605627104e-05
-0.918,7.244354390301133e-05,5.33666008427566e-05,0.015041956112316754,0.011080877942898412,0.00012130991456638096,8.936473065978554e-05
-0.916,7.501896448158796e-05,5.531890668210246e-05,0.014730266941600434,0.010862083580810374,0.00014314350979688362,0.0001055538758142401
-0.914,7.64248731982553e-05,5.6411784267400946e-05,0.014234189261991301,0.010506736619448384,0.00016459448376560104,0.0001214927564969945
-0.912,7.615082808609674e-05,5.626550763856332e-05,0.013486571837154094,0.009964813644094435,0.00018819814496484621,0.00013905382816206436
-0.91,7.505377382055478e-05,5.5510170312291995e-05,0.012663175980576244,0.00936575230789796,0.0002068038790898341,0.0001529532489194489
-0.908,7.20665841454915e-05,5.3353914491157905e-05,0.011603490157526628,0.008590550377881322,0.0002234477106836108,0.00016542771092064023
-0.906,6.792137397426679e-05,5.033511289038187e-05,0.010450892801457052,0.007744938569203887,0.0002388165760234262,0.00017698198094149182
-0.904,6.25589021943096e-05,4.640725098393837e-05,0.00921032374440785,0.00683237382143418,0.0002539859040703307,0.0001884110363696003
-0.902,5.576451796063253e-05,4.140823505429903e-05,0.007864884798417716,0.005840111424217358,0.00026458685757030365,0.00019647035769741636
-0.9,4.8122760974211864e-05,3.576936653338326e-05,0.006508745732102935,0.004837912602083339,0.0002778729487499798,0.00020654133620629883
-0.898,3.9526856343119476e-05,2.9409309795093434e-05,0.005132342736280523,0.003818635516966571,0.0002859274904570275,0.00021273966421182653
-0.896,2.95234256529886e-05,2.1988269238496576e-05,0.0036847343530915806,0.0027442930227818464,0.0002922855180195194,0.00021768654966623283
-0.894,1.8873053520995775e-05,1.4070129849784204e-05,0.0022680039373202464,0.0016908291953084027,0.00029469440555077164,0.00021969887106458824
-0.892,7.383296768859182e-06,5.509824770243767e-06,0.0008596712758752408,0.0006415342953655023,0.00029553788742969767,0.00022054673185746342
-0.89,4.822363277701136e-06,3.6022910873681554e-06,0.0005245297719254275,0.00039182218627190703,0.00030272942861719887,0.0002261379866660834
-0.888,1.7640754010561643e-05,1.3190684404395915e-05,0.0018733229992412398,0.0014007571590020078,0.00029818610421483704,0.00022296545783243417
-0.886,3.066797093764784e-05,2.2954425057549377e-05,0.0031434690492518217,0.002352830086427334,0.0002938863491327992,0.00021996865036559319
-0.884,4.4275974995788836e-05,3.317268183967959e-05,0.004382899275941812,0.003283779142751985,0.0002866905779023432,0.00021479584194572448
-0.882,5.84009340693914e-05,4.379889935934366e-05,0.0055836289936876775,0.004187549535832081,0.00027925980995313626,0.00020943624457639288
-0.88,7.19695236923723e-05,5.402849424235638e-05,0.006648147222250646,0.0049908539822360294,0.00027209081876562735,0.00020426225547793615
-0.878,8.57771858766565e-05,6.445798677848626e-05,0.007659050805962225,0.005755458057301692,0.0002566393876562434,0.00019285382339509494
-0.876,0.00010000551437949756,7.522452799291317e-05,0.008635465961982029,0.006495630316183267,0.0002505740364843745,0.00018848274256444831
-0.874,0.00011402741022836782,8.585690627368985e-05,0.009526668662096923,0.007173102474080996,0.00023289652113671344,0.00017535936970467712
-0.872,0.00012741400806137726,9.603144663511941e-05,0.010304585953561199,0.007766526704188798,0.0002221158284726535,0.00016740784355917854
-0.87,0.00014024921336597274,0.00010581004829992725,0.010985097343576698,0.00828763065836388,0.00020374373927734696,0.0001537130539013369
-0.868,0.00015293278037153968,0.00011549338516119646,0.011606397376054905,0.008765041211112807,0.00018558467661328182,0.00014015178749802296
-0.866,0.00016542187345935933,0.00012504875450389838,0.012169751631856827,0.00919958317700566,0.00016719662069531252,0.00012639035417735212
-0.864,0.00017686070812550359,0.0001338281769431708,0.01261851024495553,0.009548261113049378,0.00014750059142187508,0.00011161176191843224
-0.862,0.00018832362391418833,0.00014264305368844475,0.0130363943148861,0.00987423168433376,0.0001304842342734376,9.883342964684358e-05
-0.86,0.00019867274422247228,0.00015063073358009593,0.013349139629796117,0.010121120050809038,0.00010706487930078196,8.117500653075003e-05
-0.858,0.00020841607346289148,0.00015817426905949394,0.013598423496058209,0.010320320602496273,9.226693446484635e-05,7.002461314451264e-05
-0.856,0.0002163745574652598,0.00016437660007849694,0.013714648180717425,0.010418818485999796,6.798662765234581e-05,5.164845088632755e-05
-0.854,0.00022391342681882254,0.0001702718900071879,0.013792723246051337,0.010488486951483772,4.782808419140361e-05,3.637020971182161e-05
-0.852,0.00023102296552257595,0.00017585180755646919,0.013835102581464904,0.010531107983903127,2.5592083765624274e-05,1.948037581087068e-05
-0.85,0.00023705208703839187,0.0001806193054714883,0.01380676448639791,0.010519916713231558,4.827989222661033e-06,3.6786348144643707e-06
-0.848,0.0002424252184584086,0.00018489566128078534,0.013737418577044613,0.010477412821345478,1.5482547171874472e-05,1.1808407623012255e-05
-0.846,0.0002462425367703025,0.00018799243618450404,0.013580835680818807,0.010368210214793705,3.4260308519523663e-05,2.6155833786856662e-05
-0.844,0.0002489801290119775,0.00019026994558102073,0.013369524348299508,0.010216954583041064,5.5014005503895014e-05,4.204155518337178e-05
-0.842,0.00025085404123648125,0.00019189101707909023,0.013119212870177428,0.01003555329835096,8.012737649218393e-05,6.129350635603113e-05
-0.84,0.00025285163416688405,0.00019360972635158616,0.012883364930315257,0.009864855202002261,9.560897547264413e-05,7.320825763695422e-05
-0.838,0.0002525531354994337,0.00019357169756341287,0.012541161713885453,0.009612289934842368,0.00011496922760936834,8.81192328572366e-05
-0.836,0.0002512023855194556,0.00019272602424534659,0.012160970767734494,0.009330068829492971,0.0001363126300039097,0.00010458097832453017
-0.834,0.00024863880278447326,0.00019094699888506665,0.011738381356320547,0.00901471800321022,0.00015283526117579327,0.00011737280793871119
-0.832,0.00024543001722465707,0.00018866822030079916,0.011302973755422245,0.008688879896015885,0.00017285860570703804,0.00013288075301959429
-0.83,0.00024179411605051992,0.0001860560345216265,0.010865858378482616,0.008361074101371702,0.0001883645698007863,0.00014494300140117518
-0.828,0.00023703936082808408,0.00018257666392963314,0.01039538302358479,0.008006916429771214,0.00020570957240625964,0.00015844527818974953
-0.826,0.0002303771379799091,0.00017761954535044054,0.009864259481479813,0.0076052914784973755,0.00022006656899220545,0.00016967015162171046
-0.824,0.00022363299649008628,0.00017258920923602424,0.009351574323091994,0.0072170960585680125,0.00023757173050781288,0.00018334645490024958
-0.822,0.00021603841971451487,0.00016689177373228003,0.00882513557675334,0.006817502793153684,0.0002488005788398584,0.0001922008592873084
-0.82,0.0002068288540857388,0.00015993409100978126,0.008255814542075725,0.006383955469698932,0.0002623476748866982,0.0002028650069015046
-0.818,0.00019758471376463138,0.00015293575846089726,0.007708536565916609,0.0059666097840765635,0.00027622080806638527,0.0002138021610044028
-0.816,0.00018745066364900254,0.00014523398491082023,0.007149671950407264,0.005539459439349329,0.0002854745658476543,0.00022118144572896953
-0.814,0.00017694830666892258,0.00013723125823989296,0.006599843229549436,0.005118471081340823,0.0002993804294453284,0.00023218279846018756
-0.812,0.00016482358225966554,0.000127953194835921,0.006013149055974975,0.004668031250069991,0.0003051908867968689,0.0002369208851373409
-0.81,0.00015259991920302252,0.00011857988507176091,0.005446716851054907,0.004232446921267582,0.00031773404901563884,0.0002468996524535083
-0.808,0.00013981569522469872,0.00010875202845225068,0.004883544536437659,0.003798539023254684,0.00032315021972267877,0.00025135405458702535
-0.806,0.0001255267658099024,9.773323551367218e-05,0.0042915433391671875,0.0033413305375774344,0.00033134718144922637,0.0002579818886627769
-0.804,0.0001121332667748387,8.739059286570738e-05,0.0037532138058456576,0.0029250514952286048,0.0003349952180312643,0.00026107712325650474
-0.802,9.751299750659914e-05,7.607058655049423e-05,0.003196060905983105,0.0024932699638608212,0.00034195492036720454,0.00026676147827781006
-0.8,8.292283231048359e-05,6.475185334193137e-05,0.0026619303431044527,0.0020786183778402512,0.0003476233612421664,0.00027144824022775493
-0.798,6.67475961640962e-05,5.217197660599957e-05,0.002098960611023436,0.0016406122495559391,0.0003482881347577904,0.00027223273140890807
-0.796,5.140699846239993e-05,4.0220480807005515e-05,0.001583795218300822,0.001239150448094873,0.000354481265761708,0.0002773436958479484
-0.794,3.399804637127524e-05,2.6625764345776376e-05,0.0010262021440369052,0.00080367607479183,0.00035855663408984606,0.0002808056774684879
-0.792,1.924191103652717e-05,1.5084092746959477e-05,0.0005688335738757212,0.0004459192420980242,0.0003575804011601291,0.0002803139420692305
-0.79,2.811032931537838e-06,2.205766569382376e-06,8.044644518097507e-05,6.312486681142185e-05,0.0003600088591875217,0.0002824924238233292
-0.788,1.334742646474929e-05,1.0483674569481055e-05,0.00038144673815711163,0.0002996055815696396,0.00035612656337502546,0.00027971796704268754
-0.786,3.100158480429105e-05,2.4373731179261867e-05,0.0008675220542613474,0.0006820538200266582,0.0003581025952031358,0.0002815435547949518
-0.784,4.812004148735394e-05,3.786918754239266e-05,0.0013204686543918916,0.0010391735661773873,0.00035421604124219463,0.00027875856465854794
-0.782,6.51799966093769e-05,5.134473830444979e-05,0.001754741586425685,0.0013822760391797933,0.0003527267837070136,0.0002778561728216084
-0.78,8.109932652999863e-05,6.394700598539374e-05,0.0021425707585098664,0.0016894219838913176,0.0003475449080664328,0.0002740399614551235
-0.778,9.766447725978455e-05,7.708336965912134e-05,0.0025326294767992535,0.0019989214056858667,0.0003449351999023631,0.0002722460434799794
-0.776,0.00011438338217617527,9.036657514501382e-05,0.002912090380744172,0.0023006456813392108,0.000341584175632792,0.00026986255772823
-0.774,0.0001320430739252254,0.00010441937116116984,0.003301033158208582,0.0026104497291354026,0.00033699931962505314,0.00026649831748780275
-0.772,0.00014781977086519849,0.00011700872799985695,0.003629427768778843,0.0028729223709827397,0.0003325568238788934,0.00026323982727064903
-0.77,0.0001642491718082395,0.0001301394396004801,0.003961497224029716,0.0031388105220766945,0.00032482721481252863,0.000257370136100538
-0.768,0.0001798506499020025,0.00014263873778671947,0.004261810141531041,0.0033800223663682147,0.00032083543732419617,0.00025445313565510745
-0.766,0.0001947647636380001,0.00015461631326668053,0.004535156366619579,0.0036002875694596233,0.00031135920493363667,0.0002471761907506098
-0.764,0.00020953177556637392,0.0001664999024139734,0.004795179206328884,0.0038103856455812993,0.00030335512153911726,0.00024105459898153883
-0.762,0.00022544430137438898,0.00017931731544245535,0.005071557918720722,0.004033892830964403,0.000296117952507835,0.00023553079840257893
-0.76,0.0002387078124697073,0.00019005013573020825,0.0052793800749297085,0.004203242824065826,0.0002860500882577721,0.00022774226589641496
-0.758,0.00025306149842307946,0.00020167214447533403,0.005503365572893019,0.004385793745129578,0.00028096770500385393,0.0002239114205421638
-0.756,0.00026575718895183176,0.00021199365095411518,0.005683812069646964,0.004533958523319263,0.00026863051731640386,0.00021428569570668842
-0.754,0.00027821247419879125,0.000222142738779359,0.005852634502400735,0.004673119928148495,0.0002606117566757993,0.00020808919353017808
-0.752,0.0002913915709374937,0.00023288949223742897,0.006030318544751095,0.004819624052262964,0.0002541521218164533,0.00020312652974301614
-0.75,0.0003034848483820518,0.00024278787870564146,0.00617949891929729,0.004943599135437832,0.00023979006625785004,0.00019183205300628005
-0.748,0.00031527682270227064,0.0002524636162165387,0.006317222554499607,0.005058630180562793,0.00023188022542963704,0.0001856822830784343
-0.746,0.00032540705546257875,0.0002608255731545607,0.006417130138315414,0.0051435628645304585,0.00022281787048439305,0.0001785966155391299
-0.744,0.00033387834048270726,0.00026787216355231676,0.006481013747007783,0.005199747824052696,0.00021260360410546575,0.00017057287192818367
-0.742,0.00034545315393308407,0.0002774241817572451,0.0066016507284273815,0.005301609004663624,0.0002002610406601768,0.00016082428170207313
